X	col0_fb1	col0_fb2	col0_leaf1	col0_leaf2	d234_fb1	d234_fb2
AT5G24360	3.47	4.32	3.87	3.99	5.46	6.15
AT5G24370	0	0	0	0	0	0.34
AT5G24380	1.74	1.57	1.42	0.55	0.8	1.31
AT5G24390	0.49	1.03	0.34	0.15	1.79	1.17
AT5G24400	18.1	31.97	11.95	9.67	34.77	41.64
AT5G24410	0	0	0	0	0	0
AT5G24420	131.18	266.82	14.23	5.19	163.14	359.6
AT5G24430	5.16	7.96	7.54	7.74	10.53	10.23
AT5G24440	0	0	0	0	0	0
AT5G24450	5.35	8.69	10.74	7.77	12.56	12.01
AT5G24460	17.59	19.6	60.61	46.28	23.17	24.17
AT5G24470	17.84	29.15	49.99	24.62	31.56	32.05
AT5G24480	0	0	0	0	0	0
AT5G24490	196.95	271.09	576.24	325.99	371.76	349.2
AT5G24500	7.94	11	14.22	10.87	13.6	16.28
AT5G24510	0	0.19	0	0	0.3	0.25
AT5G24520	21.91	29.8	33.14	30.47	34.3	34.85
AT5G24530	3.16	3.4	4.56	38.57	3.49	6.25
AT5G24540	0	0	0	0	0	0
AT5G24550	0	0	0	0	0	0
AT5G24557	0	0	0	0	0	0
AT5G24560	1.7	1.4	0	0	0.82	1.02
AT5G24570	38.18	69.43	45.69	33.22	105.48	160.74
AT5G24575	0	0	0	0	0	0
AT5G24580	9.45	15.87	0.55	0.4	23.09	28.98
AT5G24590	6.65	13.47	8.16	6.95	17.84	16.99
AT5G24600	0.78	0.7	0	0	0.64	1.81
AT5G24610	60.78	89.35	47.68	34.4	100.93	123.37
AT5G24620	22.68	30.4	24.2	15.64	26.62	34.1
AT5G24630	1.82	3.16	1.27	2.33	4.06	4.55
AT5G24640	0	0.28	0	0	0.22	0
AT5G24650	31.65	46.5	35.8	28.75	64	85.08
AT5G24655	3.65	5.77	0.43	1.84	5.09	13.84
AT5G24660	0.67	0.51	1.8	2.75	0.8	1.67
AT5G24670	15	23.31	16.86	10.23	23.2	25.74
AT5G24680	1.92	2.74	2.28	1.84	3.58	4.68
AT5G24690	38.57	51.39	43.41	35.29	56.26	52.92
AT5G24710	8.18	9.98	8.19	6.49	9.09	10.04
AT5G24735	42.02	60.23	80.6	56.48	69.41	80.43
AT5G24740	1.21	1.51	0.75	0.82	1.45	1.7
